Date,NEPSE,Banking,Hydropower,Hotels And Tourism,Finance,Investment,LifeInsurance,Manufacture,NonLifeInsurance,Others,Mutual Fund,Microfinance,DevBank,Trading
2021-03-30,2575.67,1765.25,2415.45,3589.33,1167.34,104.03,17194.9,5513.58,13324.76,1936.96,13.29,4820.44,2560.55,4368.87
2021-03-31,2619.03,1806.11,2448.97,3652.53,1176.73,105.82,17362.85,5545.39,13674.44,1961.87,13.4,4848.04,2603.47,4269.88
2021-04-01,2631.9,1811.54,2473.06,3575.31,1199.5,104.73,17306.2,5558.13,13699.45,2025.82,13.37,4850.72,2656.35,4638.45
2021-04-04,2657.61,1826.2,2510.2,3545.44,1243.46,102.27,17461.01,5550.06,14243.43,2094.86,13.26,4873.73,2677.84,4434.86
2021-04-05,2658.75,1814.42,2556.69,3660.24,1242.51,101.41,17422.05,5574.85,14136.82,2127.88,13.31,4908.35,2664.42,4567.51
2021-04-06,2674.47,1813.83,2670.74,3866.03,1239.15,104.12,17230.63,5758.76,13849.06,2123.98,13.33,4972.55,2694.39,4135.26
2021-04-07,2671.62,1819.06,2637.71,4098.68,1240.13,102.4,17123.94,5678.21,13647.67,2108.67,13.37,5079.99,2734.92,3972.25
2021-04-08,2674.36,1820.95,2614.39,4128.46,1279.56,101.97,17215.92,5649.44,13585.04,2086.15,13.39,5186.12,2755.54,3940.25
2021-04-12,2691.56,1838.76,2571.71,4053.28,1278.2,101.64,17413.71,5663.5,13748.8,2056.44,13.41,5374.68,2794.9,3870.63
2021-04-13,2714.79,1881.12,2603.4,3988.04,1281.84,101.18,17362.43,5641.99,13659.87,2048.93,13.47,5360.29,2890.32,3939.92
2021-04-15,2735.4,1904.16,2594.44,3998.53,1310.23,102.77,17408.11,5685.26,13668.9,2052.23,13.52,5366.43,2980.51,3840.27
2021-04-18,2699.51,1870.86,2562.98,3905.75,1294.17,102.32,17296.49,5620.31,13485.71,2031.22,13.58,5316.11,2932.94,3714.88
2021-04-19,2661.94,1836.02,2566.17,3664.91,1300.34,101.74,17166.72,5578.62,13246.58,2004.5,13.5,5253.41,2876.14,3606.98
2021-04-20,2664.62,1834.65,2597.94,3666.56,1305.22,100.69,17220.7,5584.49,13222.19,2006.6,13.46,5259.6,2926.28,3641.3
2021-04-21,2632.21,1809.72,2568.12,3646.44,1284.46,99.26,17075.63,5502.09,13067.96,1989.19,13.47,5203.41,2864.95,3639.65
2021-04-22,2648.01,1818.95,2573.1,3593.52,1285.87,99.43,17189.69,5549.37,13182.86,2010.51,13.41,5256.6,2903.12,3650.77
2021-04-25,2572.21,1776.3,2460.56,3368.92,1242.1,96.07,16729.65,5413.16,12743.05,1963.37,13.32,5095.08,2816.78,3553.72
2021-04-26,2506.62,1735.57,2360.94,3297.49,1214.03,93.32,16370.47,5317.61,12358.52,1908.74,13.21,4982.74,2728.68,3434.62
