Symbol,Date,Close
HOTELS,2019-12-03,1749.47
HOTELS,2019-12-04,1753.57
HOTELS,2019-12-05,1770.04
HOTELS,2019-12-08,1778.98
HOTELS,2019-12-09,1792.04
HOTELS,2019-12-10,1820.22
HOTELS,2019-12-11,1843.0
HOTELS,2019-12-12,1839.3
HOTELS,2019-12-15,1796.09
HOTELS,2019-12-16,1789.97
HOTELS,2019-12-17,1777.23
HOTELS,2019-12-18,1734.16
HOTELS,2019-12-19,1749.35
HOTELS,2019-12-22,1793.96
HOTELS,2019-12-23,1840.95
HOTELS,2019-12-24,1805.94
HOTELS,2019-12-25,1812.06
HOTELS,2019-12-26,1802.18
HOTELS,2019-12-29,1786.55
HOTELS,2019-12-30,1793.5
HOTELS,2019-12-31,1825.66
HOTELS,2020-01-01,1993.98
HOTELS,2020-01-02,1920.99
HOTELS,2020-01-05,1931.63
HOTELS,2020-01-06,1934.6
HOTELS,2020-01-07,1926.23
HOTELS,2020-01-08,1908.53
HOTELS,2020-01-09,1902.14
HOTELS,2020-01-12,1977.98
HOTELS,2020-01-13,1990.57
HOTELS,2020-01-14,1995.97
HOTELS,2020-01-15,1992.44
HOTELS,2020-01-16,2066.99
HOTELS,2020-01-19,2115.98
HOTELS,2020-01-20,2051.89
HOTELS,2020-01-21,2054.21
HOTELS,2020-01-22,2030.53
HOTELS,2020-01-23,1997.98
HOTELS,2020-01-26,1958.18
HOTELS,2020-01-27,2041.5
HOTELS,2020-01-28,2002.08
HOTELS,2020-01-29,2018.24
HOTELS,2020-01-30,2042.32
HOTELS,2020-02-02,2050.98
HOTELS,2020-02-03,2033.96
HOTELS,2020-02-04,1959.73
HOTELS,2020-02-05,2012.73
HOTELS,2020-02-06,1987.1
HOTELS,2020-02-09,1932.77
HOTELS,2020-02-10,1943.55
HOTELS,2020-02-11,1945.12
HOTELS,2020-02-12,1948.98
HOTELS,2020-02-13,1917.55
HOTELS,2020-02-16,1924.5
HOTELS,2020-02-17,1945.44
HOTELS,2020-02-18,1912.17
HOTELS,2020-02-19,1911.9
HOTELS,2020-02-20,1961.17
HOTELS,2020-02-23,1972.95
HOTELS,2020-02-24,1950.3
HOTELS,2020-02-25,1961.52
HOTELS,2020-02-26,2035.4
HOTELS,2020-02-27,2007.78
HOTELS,2020-03-01,1943.29
HOTELS,2020-03-02,1863.94
HOTELS,2020-03-03,1868.6
HOTELS,2020-03-04,1788.57
HOTELS,2020-03-05,1762.58
HOTELS,2020-03-10,1641.73
HOTELS,2020-03-11,1741.32
HOTELS,2020-03-12,1648.65
HOTELS,2020-03-15,1596.17
HOTELS,2020-03-16,1588.12
HOTELS,2020-03-17,1534.43
HOTELS,2020-03-18,1515.27
HOTELS,2020-03-19,1510.46
HOTELS,2020-03-22,1563.46
HOTELS,2020-05-12,1560.08
HOTELS,2020-05-13,1556.69
HOTELS,2020-06-29,1530.25
HOTELS,2020-06-30,1482.41
HOTELS,2020-07-01,1477.26
HOTELS,2020-07-02,1348.89
HOTELS,2020-07-05,1356.07
HOTELS,2020-07-06,1430.74
HOTELS,2020-07-07,1557.84
HOTELS,2020-07-08,1515.41
HOTELS,2020-07-09,1527.59
HOTELS,2020-07-12,1474.37
HOTELS,2020-07-13,1457.87
HOTELS,2020-07-14,1513.16
HOTELS,2020-07-15,1467.74
HOTELS,2020-07-16,1480.0
HOTELS,2020-07-20,1413.89
HOTELS,2020-07-21,1496.34
HOTELS,2020-07-22,1630.8
HOTELS,2020-07-23,1673.35
HOTELS,2020-07-26,1696.27
HOTELS,2020-07-27,1638.15
HOTELS,2020-07-28,1635.17
HOTELS,2020-07-29,1575.66
HOTELS,2020-07-30,1589.54
HOTELS,2020-08-02,1518.11
HOTELS,2020-08-03,1551.88
HOTELS,2020-08-06,1523.93
HOTELS,2020-08-09,1496.46
HOTELS,2020-08-10,1554.56
HOTELS,2020-08-11,1511.34
HOTELS,2020-08-12,1512.08
HOTELS,2020-08-13,1510.24
HOTELS,2020-08-16,1500.85
HOTELS,2020-08-17,1515.02
HOTELS,2020-08-18,1505.54
HOTELS,2020-08-19,1501.56
HOTELS,2020-08-20,1497.2
HOTELS,2020-08-23,1521.14
HOTELS,2020-08-24,1519.7
HOTELS,2020-08-25,1529.91
HOTELS,2020-08-26,1533.3
HOTELS,2020-08-27,1511.75
HOTELS,2020-08-30,1512.38
HOTELS,2020-08-31,1511.6
HOTELS,2020-09-02,1512.62
HOTELS,2020-09-03,1544.36
HOTELS,2020-09-06,1518.7
HOTELS,2020-09-07,1516.14
HOTELS,2020-09-08,1511.19
HOTELS,2020-09-09,1531.6
HOTELS,2020-09-10,1530.47
HOTELS,2020-09-13,1588.43
HOTELS,2020-09-14,1570.98
HOTELS,2020-09-15,1580.22
HOTELS,2020-09-16,1723.03
HOTELS,2020-09-17,1884.54
HOTELS,2020-09-20,1787.88
HOTELS,2020-09-21,1755.28
HOTELS,2020-09-22,1740.21
HOTELS,2020-09-23,1716.57
HOTELS,2020-09-24,1733.84
HOTELS,2020-09-27,1785.55
HOTELS,2020-09-28,1766.16
HOTELS,2020-09-29,1756.08
HOTELS,2020-09-30,1741.08
HOTELS,2020-10-01,1749.16
HOTELS,2020-10-04,1761.03
HOTELS,2020-10-05,1765.18
HOTELS,2020-10-06,1765.03
HOTELS,2020-10-07,1817.7
HOTELS,2020-10-08,1786.66
HOTELS,2020-10-11,1748.43
HOTELS,2020-10-12,1755.37
HOTELS,2020-10-13,1745.31
HOTELS,2020-10-14,1747.69
HOTELS,2020-10-15,1731.84
HOTELS,2020-10-18,1730.02
HOTELS,2020-10-19,1744.18
HOTELS,2020-10-20,1763.45
HOTELS,2020-10-21,1748.42
HOTELS,2020-10-22,1734.38
HOTELS,2020-10-28,1767.23
HOTELS,2020-10-29,1751.81
HOTELS,2020-11-01,1736.53
HOTELS,2020-11-02,1745.86
HOTELS,2020-11-03,1747.82
HOTELS,2020-11-04,1752.49
HOTELS,2020-11-05,1757.35
HOTELS,2020-11-08,1785.1
HOTELS,2020-11-09,1780.99
HOTELS,2020-11-10,1868.42
HOTELS,2020-11-11,1915.77
HOTELS,2020-11-12,1897.36
HOTELS,2020-11-18,1936.96
HOTELS,2020-11-19,2118.59
HOTELS,2020-11-22,2034.1
HOTELS,2020-11-23,2110.79
HOTELS,2020-11-24,2075.87
HOTELS,2020-11-25,2074.85
HOTELS,2020-11-26,2031.2
HOTELS,2020-11-29,2023.52
HOTELS,2020-11-30,2028.48
HOTELS,2020-12-01,2007.66
HOTELS,2020-12-02,2058.82
HOTELS,2020-12-03,2050.47
HOTELS,2020-12-06,1968.48
HOTELS,2020-12-07,2028.54
HOTELS,2020-12-08,2020.42
HOTELS,2020-12-09,1960.48
HOTELS,2020-12-10,1991.1
HOTELS,2020-12-13,1985.42
HOTELS,2020-12-14,2021.58
HOTELS,2020-12-15,2001.04
HOTELS,2020-12-16,2008.32
HOTELS,2020-12-17,1976.25
HOTELS,2020-12-20,1924.29
HOTELS,2020-12-21,1900.68
HOTELS,2020-12-22,1921.23
HOTELS,2020-12-23,1902.93
HOTELS,2020-12-24,1996.33
HOTELS,2020-12-27,1903.22
HOTELS,2020-12-28,1906.65
HOTELS,2020-12-29,1902.11
HOTELS,2020-12-30,1882.83
HOTELS,2020-12-31,1884.13
HOTELS,2021-01-03,1918.98
HOTELS,2021-01-04,1918.83
HOTELS,2021-01-05,1897.88
HOTELS,2021-01-06,1898.73
HOTELS,2021-01-07,1904.67
HOTELS,2021-01-10,1925.21
HOTELS,2021-01-11,1920.65
HOTELS,2021-01-12,1930.58
HOTELS,2021-01-13,1925.19
HOTELS,2021-01-17,1942.06
HOTELS,2021-01-18,2055.06
HOTELS,2021-01-19,2028.68
HOTELS,2021-01-20,2005.91
HOTELS,2021-01-21,2019.52
HOTELS,2021-01-24,2042.91
HOTELS,2021-01-25,2018.83
HOTELS,2021-01-26,2072.88
HOTELS,2021-01-27,2048.5
HOTELS,2021-01-28,2022.54
HOTELS,2021-01-31,1999.52
HOTELS,2021-02-01,2174.58
HOTELS,2021-02-02,2112.5
HOTELS,2021-02-03,2081.6
HOTELS,2021-02-04,2060.96
HOTELS,2021-02-07,2088.48
HOTELS,2021-02-08,2117.34
HOTELS,2021-02-09,2084.47
HOTELS,2021-02-10,2129.64
HOTELS,2021-02-11,2086.79
HOTELS,2021-02-14,2061.07
HOTELS,2021-02-15,2085.16
HOTELS,2021-02-16,2072.14
HOTELS,2021-02-17,2056.69
HOTELS,2021-02-18,2061.37
HOTELS,2021-02-21,2073.54
HOTELS,2021-02-22,2053.26
HOTELS,2021-02-23,2021.68
HOTELS,2021-02-24,2068.26
HOTELS,2021-02-25,2050.89
HOTELS,2021-02-28,2061.97
HOTELS,2021-03-01,2117.78
HOTELS,2021-03-02,2134.64
HOTELS,2021-03-03,2169.81
HOTELS,2021-03-04,2234.68
HOTELS,2021-03-07,2284.83
HOTELS,2021-03-09,2352.94
HOTELS,2021-03-10,2404.66
HOTELS,2021-03-14,2465.77
HOTELS,2021-03-15,2556.71
HOTELS,2021-03-16,2642.71
HOTELS,2021-03-17,2755.4
HOTELS,2021-03-18,2868.28
HOTELS,2021-03-21,3022.05
HOTELS,2021-03-22,3127.48
HOTELS,2021-03-23,3282.99
HOTELS,2021-03-24,3461.55
HOTELS,2021-03-25,3615.62
HOTELS,2021-03-29,3476.43
HOTELS,2021-03-30,3589.33
HOTELS,2021-03-31,3652.53
HOTELS,2021-04-01,3575.31
HOTELS,2021-04-04,3545.44
HOTELS,2021-04-05,3660.24
HOTELS,2021-04-06,3866.03
HOTELS,2021-04-07,4098.68
HOTELS,2021-04-08,4128.46
HOTELS,2021-04-12,4053.28
HOTELS,2021-04-13,3988.04
HOTELS,2021-04-15,3998.53
HOTELS,2021-04-18,3905.75
HOTELS,2021-04-19,3664.91
HOTELS,2021-04-20,3666.56
HOTELS,2021-04-21,3646.44
HOTELS,2021-04-22,3593.52
HOTELS,2021-04-25,3368.92
HOTELS,2021-04-26,3297.49
HOTELS,2021-04-27,3336.84
HOTELS,2021-04-28,3317.52
HOTELS,2021-04-29,3289.76
HOTELS,2021-05-02,3400.93
HOTELS,2021-05-03,3387.55
HOTELS,2021-05-04,3351.78
HOTELS,2021-05-05,3314.0
HOTELS,2021-05-06,3261.95
HOTELS,2021-05-09,3225.9
HOTELS,2021-05-10,3232.11
HOTELS,2021-05-11,3259.13
HOTELS,2021-05-12,3252.16
HOTELS,2021-05-13,3232.81
HOTELS,2021-05-16,3269.2
HOTELS,2021-05-17,3256.41
HOTELS,2021-05-18,3456.59
HOTELS,2021-05-19,3470.71
HOTELS,2021-05-20,3451.12
HOTELS,2021-05-23,3448.18
HOTELS,2021-05-24,3431.18
HOTELS,2021-05-25,3397.11
HOTELS,2021-05-27,3382.28
HOTELS,2021-05-30,3517.73
HOTELS,2021-05-31,3516.92
HOTELS,2021-06-01,3433.13
HOTELS,2021-06-02,3525.47
HOTELS,2021-06-03,3642.59
HOTELS,2021-06-06,3623.61
HOTELS,2021-06-07,3581.11
HOTELS,2021-06-08,3564.66
HOTELS,2021-06-09,3562.65
HOTELS,2021-06-10,3549.37
HOTELS,2021-06-13,3720.2
HOTELS,2021-06-14,3878.22
HOTELS,2021-06-15,3936.47
HOTELS,2021-06-16,3734.32
HOTELS,2021-06-17,3770.92
HOTELS,2021-06-20,3679.94
HOTELS,2021-06-21,3514.11
HOTELS,2021-06-22,3624.07
HOTELS,2021-06-23,3551.7
HOTELS,2021-06-24,3592.92
HOTELS,2021-06-27,3550.07
HOTELS,2021-06-28,3569.63
HOTELS,2021-06-29,3568.32
HOTELS,2021-06-30,3518.64
HOTELS,2021-07-01,3657.19
HOTELS,2021-07-04,3740.71
HOTELS,2021-07-05,3681.71
HOTELS,2021-07-06,3656.08
HOTELS,2021-07-07,3581.74
HOTELS,2021-07-08,3596.39
HOTELS,2021-07-11,3683.19
HOTELS,2021-07-12,3576.32
HOTELS,2021-07-13,3595.61
HOTELS,2021-07-14,3603.4
HOTELS,2021-07-15,3547.28
HOTELS,2021-07-18,3605.86
HOTELS,2021-07-19,3596.91
HOTELS,2021-07-20,3661.46
HOTELS,2021-07-22,3646.23
HOTELS,2021-07-25,3625.91
HOTELS,2021-07-26,3647.96
HOTELS,2021-07-27,3635.72
HOTELS,2021-07-28,3888.56
HOTELS,2021-07-29,3941.23
HOTELS,2021-08-01,3848.47
HOTELS,2021-08-02,3791.3
HOTELS,2021-08-03,3803.57
HOTELS,2021-08-04,3820.14
HOTELS,2021-08-05,3773.03
HOTELS,2021-08-08,3744.64
HOTELS,2021-08-09,3706.99
HOTELS,2021-08-10,3698.21
HOTELS,2021-08-11,3801.67
HOTELS,2021-08-12,3764.92
HOTELS,2021-08-15,3699.86
HOTELS,2021-08-16,3662.26
HOTELS,2021-08-17,3630.43
HOTELS,2021-08-18,3636.66
HOTELS,2021-08-19,3605.39
HOTELS,2021-08-24,3588.38
HOTELS,2021-08-25,3537.07
HOTELS,2021-08-26,3553.44
HOTELS,2021-08-29,3516.69
HOTELS,2021-08-31,3467.93
HOTELS,2021-09-01,3601.9
HOTELS,2021-09-02,3621.65
HOTELS,2021-09-05,3460.45
HOTELS,2021-09-06,3655.28
HOTELS,2021-09-07,3541.27
HOTELS,2021-09-08,3476.92
HOTELS,2021-09-09,3473.61
HOTELS,2021-09-12,3551.09
HOTELS,2021-09-13,3555.23
HOTELS,2021-09-14,3555.45
HOTELS,2021-09-15,3475.92
HOTELS,2021-09-16,3350.09
HOTELS,2021-09-20,3191.96
HOTELS,2021-09-21,3268.05
HOTELS,2021-09-22,3404.95
HOTELS,2021-09-23,3302.81
HOTELS,2021-09-26,3214.81
HOTELS,2021-09-27,3124.69
HOTELS,2021-09-28,3100.38
HOTELS,2021-09-29,3133.29
HOTELS,2021-09-30,3089.73
HOTELS,2021-10-03,2986.9
HOTELS,2021-10-04,2999.7
