Symbol,Date,Close
FINANCE,2019-12-03,555.38
FINANCE,2019-12-04,557.38
FINANCE,2019-12-05,558.96
FINANCE,2019-12-08,557.17
FINANCE,2019-12-09,564.17
FINANCE,2019-12-10,564.63
FINANCE,2019-12-11,570.87
FINANCE,2019-12-12,572.27
FINANCE,2019-12-15,569.96
FINANCE,2019-12-16,566.3
FINANCE,2019-12-17,566.04
FINANCE,2019-12-18,564.74
FINANCE,2019-12-19,569.84
FINANCE,2019-12-22,566.78
FINANCE,2019-12-23,578.32
FINANCE,2019-12-24,578.33
FINANCE,2019-12-25,577.33
FINANCE,2019-12-26,576.08
FINANCE,2019-12-29,578.06
FINANCE,2019-12-30,575.7
FINANCE,2019-12-31,571.5
FINANCE,2020-01-01,570.6
FINANCE,2020-01-02,569.47
FINANCE,2020-01-05,573.33
FINANCE,2020-01-06,574.82
FINANCE,2020-01-07,579.84
FINANCE,2020-01-08,585.44
FINANCE,2020-01-09,585.1
FINANCE,2020-01-12,599.02
FINANCE,2020-01-13,609.9
FINANCE,2020-01-14,618.33
FINANCE,2020-01-15,638.46
FINANCE,2020-01-16,665.01
FINANCE,2020-01-19,700.17
FINANCE,2020-01-20,677.84
FINANCE,2020-01-21,674.36
FINANCE,2020-01-22,672.42
FINANCE,2020-01-23,665.17
FINANCE,2020-01-26,654.5
FINANCE,2020-01-27,657.36
FINANCE,2020-01-28,657.93
FINANCE,2020-01-29,655.72
FINANCE,2020-01-30,662.08
FINANCE,2020-02-02,666.26
FINANCE,2020-02-03,665.47
FINANCE,2020-02-04,666.1
FINANCE,2020-02-05,671.5
FINANCE,2020-02-06,670.78
FINANCE,2020-02-09,665.26
FINANCE,2020-02-10,664.4
FINANCE,2020-02-11,667.31
FINANCE,2020-02-12,671.13
FINANCE,2020-02-13,671.31
FINANCE,2020-02-16,667.98
FINANCE,2020-02-17,677.77
FINANCE,2020-02-18,671.92
FINANCE,2020-02-19,668.65
FINANCE,2020-02-20,675.07
FINANCE,2020-02-23,697.63
FINANCE,2020-02-24,695.23
FINANCE,2020-02-25,714.65
FINANCE,2020-02-26,721.18
FINANCE,2020-02-27,712.66
FINANCE,2020-03-01,716.91
FINANCE,2020-03-02,700.59
FINANCE,2020-03-03,708.37
FINANCE,2020-03-04,694.28
FINANCE,2020-03-05,702.09
FINANCE,2020-03-10,681.93
FINANCE,2020-03-11,702.54
FINANCE,2020-03-12,687.17
FINANCE,2020-03-15,664.97
FINANCE,2020-03-16,668.65
FINANCE,2020-03-17,646.68
FINANCE,2020-03-18,642.83
FINANCE,2020-03-19,636.3
FINANCE,2020-03-22,636.12
FINANCE,2020-05-12,632.86
FINANCE,2020-05-13,629.23
FINANCE,2020-06-29,625.14
FINANCE,2020-06-30,630.11
FINANCE,2020-07-01,634.86
FINANCE,2020-07-02,634.83
FINANCE,2020-07-05,628.56
FINANCE,2020-07-06,631.07
FINANCE,2020-07-07,650.11
FINANCE,2020-07-08,648.33
FINANCE,2020-07-09,653.16
FINANCE,2020-07-12,659.69
FINANCE,2020-07-13,655.72
FINANCE,2020-07-14,650.97
FINANCE,2020-07-15,654.7
FINANCE,2020-07-16,671.53
FINANCE,2020-07-19,680.53
FINANCE,2020-07-20,681.68
FINANCE,2020-07-21,675.49
FINANCE,2020-07-22,668.33
FINANCE,2020-07-23,669.81
FINANCE,2020-07-26,673.15
FINANCE,2020-07-27,672.2
FINANCE,2020-07-28,672.44
FINANCE,2020-07-29,665.91
FINANCE,2020-07-30,671.86
FINANCE,2020-08-02,657.07
FINANCE,2020-08-03,656.76
FINANCE,2020-08-05,649.59
FINANCE,2020-08-06,654.28
FINANCE,2020-08-09,661.39
FINANCE,2020-08-10,669.06
FINANCE,2020-08-11,668.46
FINANCE,2020-08-12,664.03
FINANCE,2020-08-13,659.12
FINANCE,2020-08-16,656.08
FINANCE,2020-08-17,656.25
FINANCE,2020-08-18,655.71
FINANCE,2020-08-19,652.68
FINANCE,2020-08-20,655.54
FINANCE,2020-08-23,661.56
FINANCE,2020-08-24,665.26
FINANCE,2020-08-25,666.46
FINANCE,2020-08-26,667.73
FINANCE,2020-08-27,664.47
FINANCE,2020-08-30,666.09
FINANCE,2020-08-31,667.19
FINANCE,2020-09-02,674.94
FINANCE,2020-09-03,675.01
FINANCE,2020-09-06,673.01
FINANCE,2020-09-07,673.31
FINANCE,2020-09-08,677.81
FINANCE,2020-09-09,679.3
FINANCE,2020-09-10,681.54
FINANCE,2020-09-13,678.6
FINANCE,2020-09-14,685.54
FINANCE,2020-09-15,683.04
FINANCE,2020-09-16,684.9
FINANCE,2020-09-17,726.85
FINANCE,2020-09-20,755.51
FINANCE,2020-09-21,746.07
FINANCE,2020-09-22,733.58
FINANCE,2020-09-23,745.6
FINANCE,2020-09-24,755.22
FINANCE,2020-09-27,766.85
FINANCE,2020-09-28,778.56
FINANCE,2020-09-29,775.76
FINANCE,2020-09-30,778.52
FINANCE,2020-10-01,784.31
FINANCE,2020-10-04,786.73
FINANCE,2020-10-05,782.42
FINANCE,2020-10-06,788.45
FINANCE,2020-10-07,811.6
FINANCE,2020-10-08,843.31
FINANCE,2020-10-11,860.82
FINANCE,2020-10-12,849.15
FINANCE,2020-10-13,832.85
FINANCE,2020-10-14,821.95
FINANCE,2020-10-15,821.63
FINANCE,2020-10-18,820.03
FINANCE,2020-10-19,836.29
FINANCE,2020-10-20,844.89
FINANCE,2020-10-21,844.29
FINANCE,2020-10-22,849.67
FINANCE,2020-10-28,863.05
FINANCE,2020-10-29,860.43
FINANCE,2020-11-01,858.25
FINANCE,2020-11-02,862.21
FINANCE,2020-11-03,867.6
FINANCE,2020-11-04,864.72
FINANCE,2020-11-05,864.52
FINANCE,2020-11-08,868.8
FINANCE,2020-11-09,869.71
FINANCE,2020-11-10,873.54
FINANCE,2020-11-11,870.68
FINANCE,2020-11-12,867.03
FINANCE,2020-11-18,875.47
FINANCE,2020-11-19,889.22
FINANCE,2020-11-22,885.06
FINANCE,2020-11-23,883.29
FINANCE,2020-11-24,889.53
FINANCE,2020-11-25,904.8
