,Symbol,Date,Close
0,NEPSE,2019-12-03,1115.74
1,NEPSE,2019-12-04,1124.47
2,NEPSE,2019-12-05,1131.92
3,NEPSE,2019-12-08,1135.37
4,NEPSE,2019-12-09,1148.89
5,NEPSE,2019-12-10,1151.36
6,NEPSE,2019-12-11,1161.47
7,NEPSE,2019-12-12,1172.64
8,NEPSE,2019-12-15,1167.86
9,NEPSE,2019-12-16,1154.11
10,NEPSE,2019-12-17,1155.37
11,NEPSE,2019-12-18,1152.07
12,NEPSE,2019-12-19,1149.64
13,NEPSE,2019-12-22,1150.81
14,NEPSE,2019-12-23,1168.58
15,NEPSE,2019-12-24,1166.21
16,NEPSE,2019-12-25,1168.03
17,NEPSE,2019-12-26,1167.41
18,NEPSE,2019-12-29,1162.43
19,NEPSE,2019-12-30,1167.95
20,NEPSE,2019-12-31,1166.03
21,NEPSE,2020-01-01,1169.5
22,NEPSE,2020-01-02,1166.21
23,NEPSE,2020-01-05,1182.31
24,NEPSE,2020-01-06,1200.69
25,NEPSE,2020-01-07,1216.92
26,NEPSE,2020-01-08,1209.6
27,NEPSE,2020-01-09,1213.11
28,NEPSE,2020-01-12,1255.72
29,NEPSE,2020-01-13,1270.86
30,NEPSE,2020-01-14,1263.38
31,NEPSE,2020-01-15,1284.23
32,NEPSE,2020-01-16,1310.23
33,NEPSE,2020-01-19,1343.65
34,NEPSE,2020-01-20,1317.11
35,NEPSE,2020-01-21,1320.47
36,NEPSE,2020-01-22,1313.42
37,NEPSE,2020-01-23,1297.47
38,NEPSE,2020-01-26,1276.68
39,NEPSE,2020-01-27,1300.62
40,NEPSE,2020-01-28,1306.15
41,NEPSE,2020-01-29,1305.88
42,NEPSE,2020-01-30,1325.38
43,NEPSE,2020-02-02,1346.64
44,NEPSE,2020-02-03,1349.13
45,NEPSE,2020-02-04,1337.04
46,NEPSE,2020-02-05,1342.36
47,NEPSE,2020-02-06,1333.69
48,NEPSE,2020-02-09,1319.99
49,NEPSE,2020-02-10,1324.26
50,NEPSE,2020-02-11,1341.38
51,NEPSE,2020-02-12,1345.97
52,NEPSE,2020-02-13,1344.59
53,NEPSE,2020-02-16,1363.97
