,Symbol,Date,Close
0,HOTELS,2019-12-03,1749.47
1,HOTELS,2019-12-04,1753.57
2,HOTELS,2019-12-05,1770.04
3,HOTELS,2019-12-08,1778.98
4,HOTELS,2019-12-09,1792.04
5,HOTELS,2019-12-10,1820.22
6,HOTELS,2019-12-11,1843.0
7,HOTELS,2019-12-12,1839.3
8,HOTELS,2019-12-15,1796.09
9,HOTELS,2019-12-16,1789.97
10,HOTELS,2019-12-17,1777.23
11,HOTELS,2019-12-18,1734.16
12,HOTELS,2019-12-19,1749.35
13,HOTELS,2019-12-22,1793.96
14,HOTELS,2019-12-23,1840.95
15,HOTELS,2019-12-24,1805.94
16,HOTELS,2019-12-25,1812.06
17,HOTELS,2019-12-26,1802.18
18,HOTELS,2019-12-29,1786.55
19,HOTELS,2019-12-30,1793.5
20,HOTELS,2019-12-31,1825.66
21,HOTELS,2020-01-01,1993.98
22,HOTELS,2020-01-02,1920.99
23,HOTELS,2020-01-05,1931.63
24,HOTELS,2020-01-06,1934.6
25,HOTELS,2020-01-07,1926.23
26,HOTELS,2020-01-08,1908.53
27,HOTELS,2020-01-09,1902.14
28,HOTELS,2020-01-12,1977.98
29,HOTELS,2020-01-13,1990.57
30,HOTELS,2020-01-14,1995.97
31,HOTELS,2020-01-15,1992.44
32,HOTELS,2020-01-16,2066.99
33,HOTELS,2020-01-19,2115.98
34,HOTELS,2020-01-20,2051.89
35,HOTELS,2020-01-21,2054.21
36,HOTELS,2020-01-22,2030.53
37,HOTELS,2020-01-23,1997.98
38,HOTELS,2020-01-26,1958.18
39,HOTELS,2020-01-27,2041.5
40,HOTELS,2020-01-28,2002.08
41,HOTELS,2020-01-29,2018.24
42,HOTELS,2020-01-30,2042.32
43,HOTELS,2020-02-02,2050.98
44,HOTELS,2020-02-03,2033.96
45,HOTELS,2020-02-04,1959.73
46,HOTELS,2020-02-05,2012.73
47,HOTELS,2020-02-06,1987.1
48,HOTELS,2020-02-09,1932.77
49,HOTELS,2020-02-10,1943.55
50,HOTELS,2020-02-11,1945.12
51,HOTELS,2020-02-12,1948.98
52,HOTELS,2020-02-13,1917.55
53,HOTELS,2020-02-16,1924.5
54,HOTELS,2020-02-17,1945.44
55,HOTELS,2020-02-18,1912.17
56,HOTELS,2020-02-19,1911.9
57,HOTELS,2020-02-20,1961.17
58,HOTELS,2020-02-23,1972.95
59,HOTELS,2020-02-24,1950.3
60,HOTELS,2020-02-25,1961.52
61,HOTELS,2020-02-26,2035.4
62,HOTELS,2020-02-27,2007.78
63,HOTELS,2020-03-01,1943.29
64,HOTELS,2020-03-02,1863.94
65,HOTELS,2020-03-03,1868.6
66,HOTELS,2020-03-04,1788.57
67,HOTELS,2020-03-05,1762.58
68,HOTELS,2020-03-10,1641.73
69,HOTELS,2020-03-11,1741.32
70,HOTELS,2020-03-12,1648.65
71,HOTELS,2020-03-15,1596.17
72,HOTELS,2020-03-16,1588.12
73,HOTELS,2020-03-17,1534.43
74,HOTELS,2020-03-18,1515.27
75,HOTELS,2020-03-19,1510.46
76,HOTELS,2020-03-22,1563.46
77,HOTELS,2020-05-12,1560.08
78,HOTELS,2020-05-13,1556.69
79,HOTELS,2020-06-29,1530.25
80,HOTELS,2020-06-30,1482.41
81,HOTELS,2020-07-01,1477.26
82,HOTELS,2020-07-02,1348.89
83,HOTELS,2020-07-05,1356.07
84,HOTELS,2020-07-06,1430.74
85,HOTELS,2020-07-07,1557.84
86,HOTELS,2020-07-08,1515.41
87,HOTELS,2020-07-09,1527.59
88,HOTELS,2020-07-12,1474.37
89,HOTELS,2020-07-13,1457.87
90,HOTELS,2020-07-14,1513.16
91,HOTELS,2020-07-15,1467.74
92,HOTELS,2020-07-16,1480.0
93,HOTELS,2020-07-20,1413.89
94,HOTELS,2020-07-21,1496.34
95,HOTELS,2020-07-22,1630.8
96,HOTELS,2020-07-23,1673.35
97,HOTELS,2020-07-26,1696.27
98,HOTELS,2020-07-27,1638.15
99,HOTELS,2020-07-28,1635.17
100,HOTELS,2020-07-29,1575.66
101,HOTELS,2020-07-30,1589.54
102,HOTELS,2020-08-02,1518.11
103,HOTELS,2020-08-03,1551.88
104,HOTELS,2020-08-06,1523.93
105,HOTELS,2020-08-09,1496.46
106,HOTELS,2020-08-10,1554.56
107,HOTELS,2020-08-11,1511.34
108,HOTELS,2020-08-12,1512.08
109,HOTELS,2020-08-13,1510.24
110,HOTELS,2020-08-16,1500.85
111,HOTELS,2020-08-17,1515.02
112,HOTELS,2020-08-18,1505.54
113,HOTELS,2020-08-19,1501.56
114,HOTELS,2020-08-20,1497.2
115,HOTELS,2020-08-23,1521.14
116,HOTELS,2020-08-24,1519.7
117,HOTELS,2020-08-25,1529.91
118,HOTELS,2020-08-26,1533.3
119,HOTELS,2020-08-27,1511.75
120,HOTELS,2020-08-30,1512.38
121,HOTELS,2020-08-31,1511.6
122,HOTELS,2020-09-02,1512.62
123,HOTELS,2020-09-03,1544.36
124,HOTELS,2020-09-06,1518.7
125,HOTELS,2020-09-07,1516.14
126,HOTELS,2020-09-08,1511.19
127,HOTELS,2020-09-09,1531.6
128,HOTELS,2020-09-10,1530.47
129,HOTELS,2020-09-13,1588.43
130,HOTELS,2020-09-14,1570.98
131,HOTELS,2020-09-15,1580.22
132,HOTELS,2020-09-16,1723.03
133,HOTELS,2020-09-17,1884.54
134,HOTELS,2020-09-20,1787.88
135,HOTELS,2020-09-21,1755.28
136,HOTELS,2020-09-22,1740.21
137,HOTELS,2020-09-23,1716.57
138,HOTELS,2020-09-24,1733.84
139,HOTELS,2020-09-27,1785.55
140,HOTELS,2020-09-28,1766.16
